dt_referencia;no_produto;no_tipo;vr_real;vr_dolar
1997-01-23;cafe_arabica;cafe;178.99;171.5
1997-01-24;algodao_8_dias;algodao;90.92;87.11
1997-01-24;cafe_arabica;cafe;175.42;168.08
1997-01-27;cafe_arabica;cafe;171.18;164.0
1997-01-27;algodao_8_dias;algodao;90.66;86.86
1997-01-28;algodao_8_dias;algodao;90.82;87.05
1997-01-28;cafe_arabica;cafe;172.39;165.24
1997-01-29;algodao_8_dias;algodao;91.53;87.55
1997-01-29;cafe_arabica;cafe;180.27;172.43
1997-01-30;algodao_8_dias;algodao;91.63;87.65
1997-01-30;cafe_arabica;cafe;173.41;165.88
1997-01-31;cafe_arabica;cafe;170.86;163.36
1997-01-31;algodao_8_dias;algodao;91.37;87.36
1997-02-03;cafe_arabica;cafe;174.24;166.72
1997-02-03;algodao_8_dias;algodao;91.29;87.35
1997-02-04;algodao_8_dias;algodao;90.86;86.86
1997-02-04;cafe_arabica;cafe;178.1;170.25
1997-02-05;algodao_8_dias;algodao;91.22;87.14
1997-02-05;cafe_arabica;cafe;174.82;167.0
1997-02-06;algodao_8_dias;algodao;90.76;86.69
1997-02-06;cafe_arabica;cafe;179.14;171.1
1997-02-07;cafe_arabica;cafe;180.34;172.2
1997-02-07;algodao_8_dias;algodao;91.22;87.1
1997-02-12;cafe_arabica;cafe;199.28;190.22
1997-02-12;algodao_8_dias;algodao;91.35;87.2
1997-02-13;cafe_arabica;cafe;205.31;195.78
1997-02-13;algodao_8_dias;algodao;90.95;86.73
1997-02-14;cafe_arabica;cafe;204.9;195.27
1997-02-14;algodao_8_dias;algodao;90.79;86.52
1997-02-17;algodao_8_dias;algodao;91.06;86.82
1997-02-17;cafe_arabica;cafe;201.41;192.04
1997-02-18;algodao_8_dias;algodao;90.62;86.37
1997-02-18;cafe_arabica;cafe;192.33;183.31
1997-02-19;cafe_arabica;cafe;200.19;190.63
1997-02-19;algodao_8_dias;algodao;89.58;85.31
1997-02-20;cafe_arabica;cafe;202.13;192.46
1997-02-20;algodao_8_dias;algodao;89.95;85.65
1997-02-21;algodao_8_dias;algodao;89.43;85.12
1997-02-24;algodao_8_dias;algodao;89.78;85.47
1997-02-24;cafe_arabica;cafe;195.59;186.21
1997-02-25;algodao_8_dias;algodao;89.03;84.74
1997-02-25;cafe_arabica;cafe;202.23;192.49
1997-02-26;cafe_arabica;cafe;207.55;197.44
1997-02-26;algodao_8_dias;algodao;89.3;84.95
1997-02-27;cafe_arabica;cafe;204.32;194.41
1997-02-27;algodao_8_dias;algodao;89.26;84.93
1997-02-28;algodao_8_dias;algodao;88.85;84.53
1997-02-28;cafe_arabica;cafe;206.7;196.66
1997-03-03;algodao_8_dias;algodao;88.31;84.01
1997-03-03;cafe_arabica;cafe;212.08;201.75
1997-03-04;algodao_8_dias;algodao;87.84;83.54
1997-03-04;cafe_arabica;cafe;218.78;208.07
1997-03-05;cafe_arabica;cafe;227.09;215.74
1997-03-05;algodao_8_dias;algodao;88.03;83.63
1997-03-06;algodao_8_dias;algodao;87.84;83.44
1997-03-06;cafe_arabica;cafe;223.55;212.36
1997-03-07;cafe_arabica;cafe;218.56;207.6
1997-03-07;algodao_8_dias;algodao;87.85;83.44
1997-03-10;cafe_arabica;cafe;228.81;217.33
1997-03-10;algodao_8_dias;algodao;87.89;83.48
1997-03-11;cafe_arabica;cafe;231.88;220.1
1997-03-11;algodao_8_dias;algodao;87.51;83.07
1997-03-12;cafe_arabica;cafe;231.67;219.8
1997-03-12;algodao_8_dias;algodao;87.8;83.3
1997-03-13;algodao_8_dias;algodao;87.55;82.95
1997-03-13;cafe_arabica;cafe;219.55;208.03
1997-03-14;algodao_8_dias;algodao;87.59;83.03
1997-03-14;cafe_arabica;cafe;221.74;210.2
1997-03-17;algodao_8_dias;algodao;87.6;82.74
1997-03-17;cafe_arabica;cafe;209.77;198.14
1997-03-18;algodao_8_dias;algodao;87.63;82.75
1997-03-18;cafe_arabica;cafe;206.55;195.04
1997-03-19;cafe_arabica;cafe;211.91;199.81
1997-03-19;algodao_8_dias;algodao;87.89;82.87
1997-03-20;algodao_8_dias;algodao;87.69;82.73
